Cues,Outcomes
L#_bg,statement
bg,statement
bg,statement
L#_bg,statement
bg,statement
bg,statement
L#_LL#_LLL#_bg,statement
#H_L#_bg,statement
bg,statement
#H_#HL_bg,statement
bg,statement
bg,statement
L#_bg,statement
L#_bg,statement
#H_L#_bg,statement
#H_bg,statement
L#_bg,statement
bg,statement
L#_bg,statement
#L_#LL_bg,statement
#H_L#_LL#_bg,statement
#H_bg,statement
L#_LL#_bg,statement
L#_LL#_bg,statement
bg,statement
#L_L#_LL#_LLL#_bg,statement
bg,statement
L#_LL#_LLL#_LLLL#_bg,statement
#H_L#_bg,statement
L#_bg,statement
L#_bg,statement
#H_L#_LL#_bg,statement
#H_H#_bg,statement
L#_bg,statement
L#_LL#_bg,statement
bg,statement
bg,statement
#H_bg,statement
#H_#HH_#HHH_bg,statement
bg,statement
L#_bg,statement
L#_LL#_bg,statement
bg,statement
bg,statement
L#_LL#_LLL#_bg,statement
#H_bg,statement
bg,statement
bg,statement
#L_#LL_L#_bg,statement
bg,statement
